Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:01:13,2023-08-07 11:01:14,1.112s,PASSED
"setText(findTestObject(""Login/input_UserName""), Username)",Chrome 115.0.0.0,,,2023-08-07 11:01:14,2023-08-07 11:01:15,1.264s,PASSED
"setText(findTestObject(""Login/input_Password""), Password)",Chrome 115.0.0.0,,,2023-08-07 11:01:15,2023-08-07 11:01:16,1.170s,PASSED
"setText(findTestObject(""Login/input_Captcha""), ""aa"")",Chrome 115.0.0.0,,,2023-08-07 11:01:16,2023-08-07 11:01:18,1.506s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:01:18,2023-08-07 11:01:21,3.010s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:01:21,2023-08-07 11:01:22,1.151s,PASSED
"click(findTestObject(""Login/button_Log In""))",Chrome 115.0.0.0,,,2023-08-07 11:01:22,2023-08-07 11:01:24,1.739s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:01:24,2023-08-07 11:01:27,3.023s,PASSED
"click(findTestObject(""Ready to Pay/a_BOA""))",Chrome 115.0.0.0,,,2023-08-07 11:01:27,2023-08-07 11:01:28,1.051s,PASSED
"click(findTestObject(""Ready to Pay/a_TRANSACTION BOA""))",Chrome 115.0.0.0,,,2023-08-07 11:01:28,2023-08-07 11:01:29,0.885s,PASSED
"click(findTestObject(""Release Payment/a_Release Payment""))",Chrome 115.0.0.0,,,2023-08-07 11:01:29,2023-08-07 11:01:31,2.247s,PASSED
"click(findTestObject(""Ready to Pay/Maximize""))",Chrome 115.0.0.0,,,2023-08-07 11:01:31,2023-08-07 11:01:31,0.002s,NOT_RUN
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:01:31,2023-08-07 11:01:34,3.024s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:01:34,2023-08-07 11:01:35,1.028s,PASSED
"click(findTestObject(""Release Payment/a_Create""))",Chrome 115.0.0.0,,,2023-08-07 11:01:35,2023-08-07 11:01:37,2.274s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:01:37,2023-08-07 11:01:40,3.019s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:01:40,2023-08-07 11:01:41,1.033s,PASSED
"selectOptionByLabel(findTestObject(""Release Payment/select_TipeKasbon""), ""POA"", false)",Chrome 115.0.0.0,,,2023-08-07 11:01:41,2023-08-07 11:01:43,1.189s,PASSED
"click(findTestObject(""Release Payment/button_RELEASE DATE""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 11:01:43,2023-08-07 11:01:43,0.768s,PASSED
"click(findTestObject(""Release Payment/a_DatePick"", [""dateRelease"":dateRelease]))",Chrome 115.0.0.0,,,2023-08-07 11:01:43,2023-08-07 11:01:45,1.339s,PASSED
"click(findTestObject(""Release Payment/button_Find_REQUESTOR""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 11:01:45,2023-08-07 11:01:45,0.708s,PASSED
"setText(findTestObject(""Release Payment/input_search_Pegawai""), Requestor)",Chrome 115.0.0.0,,,2023-08-07 11:01:45,2023-08-07 11:01:49,3.537s,PASSED
"click(findTestObject(""Release Payment/button_Select_Pegawai""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 11:01:49,2023-08-07 11:01:50,0.732s,PASSED
"setText(findTestObject(""Release Payment/input_DESCRIPTION""), Description)",Chrome 115.0.0.0,,,2023-08-07 11:01:50,2023-08-07 11:01:52,1.916s,PASSED
"click(findTestObject(""Release Payment/input_first checkbox""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 11:01:52,2023-08-07 11:01:52,0.721s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:01:52,2023-08-07 11:01:55,3.016s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:01:55,2023-08-07 11:01:56,1.050s,PASSED
"click(findTestObject(""Release Payment/button_Submit""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 11:01:56,2023-08-07 11:01:57,0.688s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 11:01:57,2023-08-07 11:02:00,3.017s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 11:02:00,2023-08-07 11:02:01,1.304s,PASSED
"transNo = getAttribute(findTestObject(""Release Payment/input_TRANSACTION NO""), ""value"")",Chrome 115.0.0.0,,,2023-08-07 11:02:01,2023-08-07 11:02:34,32.736s,FAILED
