Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1. Create Man Power,,Create Man Power,,2023-08-08 16:03:52,2023-08-08 16:04:13,21.612s,FAILED
,,,,,,,
Test Cases/4. Man Power/4. Man Power List/4.1 Mengakses halaman ManPower List seharusnya data berhasil tampil,,Create Man Power,Create Man Power,2023-08-08 16:03:52,2023-08-08 16:04:08,15.877s,FAILED
"openBrowser("""")",,,,2023-08-08 16:03:53,2023-08-08 16:04:08,15.148s,FAILED
,,,,,,,
Test Cases/4. Man Power/4. Man Power List/4.9 Membuat RFP tanpa POA seharusnya data tidak berhasil di-Submit,,Create Man Power,Create Man Power,2023-08-08 16:04:08,2023-08-08 16:04:13,4.808s,FAILED
"openBrowser("""")",,,,2023-08-08 16:04:09,2023-08-08 16:04:13,3.719s,FAILED
