Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1. Create Man Power,Firefox 68.0,Create Man Power,,2023-08-07 13:33:11,2023-08-07 13:33:31,19.908s,FAILED
,,,,,,,
Test Cases/4. Man Power/4. Man Power List/4.9 Membuat RFP tanpa POA seharusnya data tidak berhasil di-Submit,Firefox 68.0,Create Man Power,Create Man Power,2023-08-07 13:33:12,2023-08-07 13:33:31,19.317s,FAILED
"openBrowser("""")",Firefox 68.0,,,2023-08-07 13:33:13,2023-08-07 13:33:21,8.062s,PASSED
navigateToUrl(url),Firefox 68.0,,,2023-08-07 13:33:21,2023-08-07 13:33:23,2.428s,PASSED
maximizeWindow(),Firefox 68.0,,,2023-08-07 13:33:23,2023-08-07 13:33:23,0.067s,PASSED
"click(findTestObject(""Login/a_Login""))",Firefox 68.0,,,2023-08-07 13:33:23,2023-08-07 13:33:28,4.626s,PASSED
delay(3),Firefox 68.0,,,2023-08-07 13:33:28,2023-08-07 13:33:31,3.063s,PASSED
takeFullPageScreenshot(),Firefox 68.0,,,2023-08-07 13:33:31,2023-08-07 13:33:31,0.190s,FAILED
