Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Release Payment,Chrome 115.0.0.0,Release Payment,,2023-08-07 10:56:59,2023-08-07 10:59:19,2m - 19.690s,FAILED
,,,,,,,
Test Cases/7. Release Payment/7.8 Membuat Release Payment tanpa Description seharusnya data tidak berhasil di-Submit,Chrome 115.0.0.0,Create Release Payment,Create Release Payment,2023-08-07 10:57:00,2023-08-07 10:58:01,1m - 0.527s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-07 10:57:02,2023-08-07 10:57:09,7.271s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-07 10:57:09,2023-08-07 10:57:12,3.046s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 10:57:12,2023-08-07 10:57:12,0.287s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 115.0.0.0,,,2023-08-07 10:57:12,2023-08-07 10:57:15,2.930s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:15,2023-08-07 10:57:19,3.097s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:57:19,2023-08-07 10:57:20,1.492s,PASSED
"setText(findTestObject(""Login/input_UserName""), ""adm.jember"")",Chrome 115.0.0.0,,,2023-08-07 10:57:20,2023-08-07 10:57:21,1.189s,PASSED
"setText(findTestObject(""Login/input_Password""), ""asdf"")",Chrome 115.0.0.0,,,2023-08-07 10:57:21,2023-08-07 10:57:22,1.060s,PASSED
"setText(findTestObject(""Login/input_Captcha""), ""aa"")",Chrome 115.0.0.0,,,2023-08-07 10:57:22,2023-08-07 10:57:23,1.014s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:23,2023-08-07 10:57:26,3.014s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:57:26,2023-08-07 10:57:28,1.432s,PASSED
"click(findTestObject(""Login/button_Log In""))",Chrome 115.0.0.0,,,2023-08-07 10:57:28,2023-08-07 10:57:30,1.908s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:30,2023-08-07 10:57:33,3.012s,PASSED
"click(findTestObject(""Ready to Pay/a_BOA""))",Chrome 115.0.0.0,,,2023-08-07 10:57:33,2023-08-07 10:57:33,0.732s,PASSED
"click(findTestObject(""Ready to Pay/a_TRANSACTION BOA""))",Chrome 115.0.0.0,,,2023-08-07 10:57:33,2023-08-07 10:57:34,0.649s,PASSED
"click(findTestObject(""Release Payment/a_Release Payment""))",Chrome 115.0.0.0,,,2023-08-07 10:57:34,2023-08-07 10:57:36,1.932s,PASSED
"click(findTestObject(""Ready to Pay/Maximize""))",Chrome 115.0.0.0,,,2023-08-07 10:57:36,2023-08-07 10:57:36,0.005s,NOT_RUN
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:36,2023-08-07 10:57:39,3.023s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:57:39,2023-08-07 10:57:40,0.912s,PASSED
"click(findTestObject(""Release Payment/a_Create""))",Chrome 115.0.0.0,,,2023-08-07 10:57:40,2023-08-07 10:57:42,1.830s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:42,2023-08-07 10:57:45,3.011s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:57:45,2023-08-07 10:57:46,0.794s,PASSED
"selectOptionByLabel(findTestObject(""Release Payment/select_TipeKasbon""), ""POA"", false)",Chrome 115.0.0.0,,,2023-08-07 10:57:46,2023-08-07 10:57:47,1.055s,PASSED
"click(findTestObject(""Release Payment/button_RELEASE DATE""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:57:47,2023-08-07 10:57:47,0.721s,PASSED
"click(findTestObject(""Release Payment/a_Date28""))",Chrome 115.0.0.0,,,2023-08-07 10:57:47,2023-08-07 10:57:48,0.612s,PASSED
"click(findTestObject(""Release Payment/button_Find_REQUESTOR""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:57:48,2023-08-07 10:57:49,0.635s,PASSED
"setText(findTestObject(""Release Payment/input_search_Pegawai""), Requestor)",Chrome 115.0.0.0,,,2023-08-07 10:57:49,2023-08-07 10:57:51,2.038s,PASSED
"click(findTestObject(""Release Payment/button_Select_Pegawai""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:57:51,2023-08-07 10:57:51,0.655s,PASSED
"setText(findTestObject(""Release Payment/input_DESCRIPTION""), Description)",Chrome 115.0.0.0,,,2023-08-07 10:57:51,2023-08-07 10:57:51,0.003s,NOT_RUN
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:51,2023-08-07 10:57:54,3.010s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:57:54,2023-08-07 10:57:55,0.841s,PASSED
"click(findTestObject(""Release Payment/button_Submit""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:57:55,2023-08-07 10:57:56,0.569s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:57:56,2023-08-07 10:57:59,3.007s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:57:59,2023-08-07 10:58:00,0.830s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-07 10:58:00,2023-08-07 10:58:01,1.135s,PASSED
,,,,,,,
Test Cases/7. Release Payment/7.7 Membuat Release Payment dengan Tipe Kasbon POA seharusnya data berhasil di-Submit,Chrome 115.0.0.0,Create Release Payment,Create Release Payment,2023-08-07 10:58:01,2023-08-07 10:59:19,1m - 17.564s,FAILED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-07 10:58:02,2023-08-07 10:58:06,3.512s,PASSED
navigateToUrl(url),Chrome 115.0.0.0,,,2023-08-07 10:58:06,2023-08-07 10:58:09,3.096s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-07 10:58:09,2023-08-07 10:58:09,0.239s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 115.0.0.0,,,2023-08-07 10:58:09,2023-08-07 10:58:11,2.610s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:58:11,2023-08-07 10:58:14,3.019s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:58:14,2023-08-07 10:58:16,1.079s,PASSED
"setText(findTestObject(""Login/input_UserName""), Username)",Chrome 115.0.0.0,,,2023-08-07 10:58:16,2023-08-07 10:58:17,1.156s,PASSED
"setText(findTestObject(""Login/input_Password""), Password)",Chrome 115.0.0.0,,,2023-08-07 10:58:17,2023-08-07 10:58:18,1.030s,PASSED
"setText(findTestObject(""Login/input_Captcha""), ""aa"")",Chrome 115.0.0.0,,,2023-08-07 10:58:18,2023-08-07 10:58:19,0.978s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:58:19,2023-08-07 10:58:22,3.012s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:58:22,2023-08-07 10:58:23,1.120s,PASSED
"click(findTestObject(""Login/button_Log In""))",Chrome 115.0.0.0,,,2023-08-07 10:58:23,2023-08-07 10:58:24,1.245s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:58:24,2023-08-07 10:58:27,3.007s,PASSED
"click(findTestObject(""Ready to Pay/a_BOA""))",Chrome 115.0.0.0,,,2023-08-07 10:58:27,2023-08-07 10:58:28,0.642s,PASSED
"click(findTestObject(""Ready to Pay/a_TRANSACTION BOA""))",Chrome 115.0.0.0,,,2023-08-07 10:58:28,2023-08-07 10:58:28,0.642s,PASSED
"click(findTestObject(""Release Payment/a_Release Payment""))",Chrome 115.0.0.0,,,2023-08-07 10:58:28,2023-08-07 10:58:30,1.507s,PASSED
"click(findTestObject(""Ready to Pay/Maximize""))",Chrome 115.0.0.0,,,2023-08-07 10:58:30,2023-08-07 10:58:30,0.004s,NOT_RUN
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:58:30,2023-08-07 10:58:33,3.009s,PASSED
