Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:58:33,2023-08-07 10:58:34,0.834s,PASSED
"click(findTestObject(""Release Payment/a_Create""))",Chrome 115.0.0.0,,,2023-08-07 10:58:34,2023-08-07 10:58:36,2.248s,PASSED
delay(3),Chrome 115.0.0.0,,,2023-08-07 10:58:36,2023-08-07 10:58:39,3.012s,PASSED
takeFullPageScreenshot(),Chrome 115.0.0.0,,,2023-08-07 10:58:39,2023-08-07 10:58:40,0.784s,PASSED
"selectOptionByLabel(findTestObject(""Release Payment/select_TipeKasbon""), ""POA"", false)",Chrome 115.0.0.0,,,2023-08-07 10:58:40,2023-08-07 10:58:41,0.866s,PASSED
"click(findTestObject(""Release Payment/button_RELEASE DATE""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:58:41,2023-08-07 10:58:41,0.566s,PASSED
"click(findTestObject(""Release Payment/a_DatePick"", [""dateRelease"":dateRelease]))",Chrome 115.0.0.0,,,2023-08-07 10:58:41,2023-08-07 10:58:42,1.099s,PASSED
"click(findTestObject(""Release Payment/button_Find_REQUESTOR""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:58:42,2023-08-07 10:58:43,0.532s,PASSED
"setText(findTestObject(""Release Payment/input_search_Pegawai""), Requestor)",Chrome 115.0.0.0,,,2023-08-07 10:58:43,2023-08-07 10:58:45,1.907s,PASSED
"click(findTestObject(""Release Payment/button_Select_Pegawai""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:58:45,2023-08-07 10:58:45,0.547s,PASSED
"setText(findTestObject(""Release Payment/input_DESCRIPTION""), Description)",Chrome 115.0.0.0,,,2023-08-07 10:58:45,2023-08-07 10:58:47,1.596s,PASSED
"click(findTestObject(""Release Payment/input_first checkbox""), STOP_ON_FAILURE)",Chrome 115.0.0.0,,,2023-08-07 10:58:47,2023-08-07 10:59:19,31.597s,FAILED
